id,company,founder_name,founder_role,email,phone,website,city,category,size,employee_estimate,employee_estimate_source,platform,technologies,intent_score,grade,signal_families,strong_signals,growth_signals,buying_signals,pain_types,why,signal,subject,body,outreach_status,source
ff9ae95c-4137-58e3-aad2-30a6f59d9d95,Bevzilla,,,info@bevzilla.com,917180176327,https://bevzilla.com,New Delhi,food,,33,why_text,shopify,,96.0,SALES_READY,,"whatsapp_signal,chat_gap,ops_pain,stack_plus_support_pain,brand_inbox,brand_inbox_plus_cue,phone_plus_context,live_enriched_signal",,,,No WhatsApp chat on site Â· No chatbot on site Â· Found 58 instances of return_policy references Â· Found 9 instances of shipping_info references,live_discovery,,,pooled,live_verified_enrichment
1b0cf8a5-84f2-5a53-8af1-2baa29285189,Nua Woman,,,care@nuawoman.com,918828926608,https://nuawoman.com,Mumbai,personal care,,41,why_text,,,96.0,SALES_READY,,"whatsapp_signal,chat_gap,ops_pain,stack_plus_support_pain,brand_inbox,brand_inbox_plus_cue,phone_plus_context,live_enriched_signal",,,,WhatsApp present on site Â· No chatbot on site Â· Found 8 instances of return_policy references Â· Found 74 instances of shipping_info references,live_discovery,,,pooled,live_verified_enrichment
a7fc3bec-56bc-549b-83b6-3b0db7732ed2,The Moms Co,,,hello@themomsco.com,915625854214,https://themomsco.com,Mumbai,personal care,,75,why_text,shopify,,96.0,SALES_READY,,"whatsapp_signal,chat_gap,ops_pain,stack_plus_support_pain,brand_inbox,brand_inbox_plus_cue,phone_plus_context,live_enriched_signal",,,,WhatsApp present on site Â· No chatbot on site Â· Found 107 instances of return_policy references Â· Found 44 instances of shipping_info references,live_discovery,,,pooled,live_verified_enrichment
56c4527b-aaad-54f0-ba9e-85813cd3ecc6,Caprese,,,support@vipbags.com,916935003910,https://capresebags.com,Mumbai,fashion,,93,why_text,shopify,,94.0,SALES_READY,,"whatsapp_signal,chat_gap,ops_pain,stack_plus_support_pain,brand_support_plus_cue,phone_plus_context,live_enriched_signal",,,,No WhatsApp chat on site Â· No chatbot on site Â· Found 138 instances of return_policy references Â· Found 49 instances of shipping_info references,live_discovery,,,pooled,live_verified_enrichment
abf880be-357e-5073-b19c-ed456be51cb7,The Beard Club,,,support@thebeardclub.com,918229524583,https://thebeardclub.com,Mumbai,personal care,,93,why_text,shopify,,94.0,SALES_READY,,"whatsapp_signal,chat_gap,ops_pain,stack_plus_support_pain,brand_support_plus_cue,phone_plus_context,live_enriched_signal",,,,No WhatsApp chat on site Â· No chatbot on site Â· Found 68 instances of return_policy references Â· Found 119 instances of shipping_info references,live_discovery,,,pooled,live_verified_enrichment
754fb5ae-b23d-56cd-8aa8-f325c4d68290,Tjori,,,alerts@tjori.com,917398175180,https://tjori.com,New Delhi,fashion,,117,why_text,shopify,,96.0,SALES_READY,,"whatsapp_signal,chat_gap,ops_pain,stack_plus_support_pain,phone_plus_context,live_enriched_signal",,,,No WhatsApp chat on site Â· No chatbot on site Â· Found 117 instances of return_policy references Â· Found 118 instances of shipping_info references,live_discovery,,,pooled,live_verified_enrichment
8e2b77df-8795-5c50-a806-ba23c3474b48,AND Designs,,,care@andindia.com,+91 7303030343,https://andindia.com,Mumbai,fashion,,47,why_text,,,93.0,SALES_READY,,"whatsapp_signal,stack_plus_support_pain,brand_inbox,brand_inbox_plus_cue,phone_plus_context,live_enriched_signal",,,,WhatsApp present on site Â· Found 52 instances of return_policy references Â· Found 42 instances of shipping_info references,live_discovery,,,pooled,live_verified_enrichment
877d836f-10b9-5e14-813f-5f0ab9c9b899,Dressfolk,,,support@dressfolk.com,+919910709611,https://dressfolk.com,Mumbai,fashion,,99,why_text,shopify,,76.0,SALES_READY,,"whatsapp_signal,stack_plus_support_pain,brand_support_plus_cue,phone_plus_context,live_enriched_signal",,,,WhatsApp present on site Â· Found 127 instances of return_policy references Â· Found 72 instances of shipping_info references,live_discovery,,,pooled,live_verified_enrichment
415f6382-78e5-5ae0-881a-7c0833857924,Vaaree,,,help@vaaree.com,+918068084868,https://vaaree.com,Bengaluru,home_decor,,57,why_text,shopify,,84.0,SALES_READY,"gap,live,reach,stack","whatsapp_gap,chat_gap,stack_plus_gap,brand_support_plus_cue,phone_plus_context,live_gap_corroborated",,,,No WhatsApp chat on site Â· No chatbot on site Â· Found 60 instances of return_policy references Â· Found 55 instances of shipping_info references Â· Found 350 instances of cod_available references,live_discovery,,,pooled,live_verified_enrichment
f3e21dfa-7318-51b9-9288-efbecffa489c,FableStreet,,,care@fablestreet.com,,https://fablestreet.com,Gurugram,fashion,,26,why_text,shopify,,83.0,SALES_READY,"gap,live,reach,stack","whatsapp_gap,stack_plus_gap,brand_inbox,brand_inbox_plus_cue,live_gap_corroborated",,,,No WhatsApp chat on site Â· Found 41 instances of return_policy references Â· Found 12 instances of shipping_info references,live_discovery,,,pooled,live_verified_enrichment
