id,company,founder_name,founder_role,email,phone,website,city,category,size,employee_estimate,employee_estimate_source,platform,intent_score,grade,signal_families,strong_signals,why,signal,subject,body,outreach_status,source
ff9ae95c-4137-58e3-aad2-30a6f59d9d95,Bevzilla,,,info@bevzilla.com,917180176327,https://bevzilla.com,New Delhi,food,,33,why_text,shopify,96.0,SALES_READY,,"whatsapp_signal,chat_gap,ops_pain,stack_plus_support_pain,brand_inbox,brand_inbox_plus_cue,phone_plus_context,live_enriched_signal",No WhatsApp chat on site · No chatbot on site · Found 58 instances of return_policy references · Found 9 instances of shipping_info references,live_discovery,Bevzilla — WhatsApp replies before the cart goes cold,"Hi there,

I was looking at Bevzilla (New Delhi). What stood out is that no WhatsApp chat on site · No chatbot on site · Found 58 instances of return_policy references · Found 9 instances of shipping_info….

I'm Vansh, founder of Inowix. We built COMAI to handle WhatsApp and Instagram commerce chat for Indian food brands — product questions, order updates, and follow-ups in seconds, including after hours.

For a team like yours on Shopify, that usually means more conversions from the same ad spend without adding another support shift.

Would a short 15-minute walkthrough of how COMAI could sit on Bevzilla's WhatsApp be useful?

Best,
Vansh Jhamb
Founder, Inowix
vansh@inowix.in
https://inowix.in",sent,live_verified_enrichment
1b0cf8a5-84f2-5a53-8af1-2baa29285189,Nua Woman,,,care@nuawoman.com,918828926608,https://nuawoman.com,Mumbai,personal care,,41,why_text,,96.0,SALES_READY,,"whatsapp_signal,chat_gap,ops_pain,stack_plus_support_pain,brand_inbox,brand_inbox_plus_cue,phone_plus_context,live_enriched_signal",WhatsApp present on site · No chatbot on site · Found 8 instances of return_policy references · Found 74 instances of shipping_info references,live_discovery,Nua Woman — WhatsApp replies before the cart goes cold,"Hi there,

I was looking at Nua Woman (Mumbai). What stood out is that WhatsApp present on site · No chatbot on site · Found 8 instances of return_policy references · Found 74 instances of shipping_info….

I'm Vansh, founder of Inowix. We built COMAI to handle WhatsApp and Instagram commerce chat for Indian personal care brands — product questions, order updates, and follow-ups in seconds, including after hours.

For a team like yours, that usually means more conversions from the same ad spend without adding another support shift.

Would a short 15-minute walkthrough of how COMAI could sit on Nua Woman's WhatsApp be useful?

Best,
Vansh Jhamb
Founder, Inowix
vansh@inowix.in
https://inowix.in",sent,live_verified_enrichment
a7fc3bec-56bc-549b-83b6-3b0db7732ed2,The Moms Co,,,hello@themomsco.com,915625854214,https://themomsco.com,Mumbai,personal care,,75,why_text,shopify,96.0,SALES_READY,,"whatsapp_signal,chat_gap,ops_pain,stack_plus_support_pain,brand_inbox,brand_inbox_plus_cue,phone_plus_context,live_enriched_signal",WhatsApp present on site · No chatbot on site · Found 107 instances of return_policy references · Found 44 instances of shipping_info references,live_discovery,The Moms Co — WhatsApp replies before the cart goes cold,"Hi there,

I was looking at The Moms Co (Mumbai). What stood out is that WhatsApp present on site · No chatbot on site · Found 107 instances of return_policy references · Found 44 instances of shipping_info….

I'm Vansh, founder of Inowix. We built COMAI to handle WhatsApp and Instagram commerce chat for Indian personal care brands — product questions, order updates, and follow-ups in seconds, including after hours.

For a team like yours on Shopify, that usually means more conversions from the same ad spend without adding another support shift.

Would a short 15-minute walkthrough of how COMAI could sit on The Moms Co's WhatsApp be useful?

Best,
Vansh Jhamb
Founder, Inowix
vansh@inowix.in
https://inowix.in",sent,live_verified_enrichment
56c4527b-aaad-54f0-ba9e-85813cd3ecc6,Caprese,,,support@vipbags.com,916935003910,https://capresebags.com,Mumbai,fashion,,93,why_text,shopify,94.0,SALES_READY,,"whatsapp_signal,chat_gap,ops_pain,stack_plus_support_pain,brand_support_plus_cue,phone_plus_context,live_enriched_signal",No WhatsApp chat on site · No chatbot on site · Found 138 instances of return_policy references · Found 49 instances of shipping_info references,live_discovery,Caprese — WhatsApp replies before the cart goes cold,"Hi there,

I was looking at Caprese (Mumbai). What stood out is that no WhatsApp chat on site · No chatbot on site · Found 138 instances of return_policy references · Found 49 instances of shipping_info….

I'm Vansh, founder of Inowix. We built COMAI to handle WhatsApp and Instagram commerce chat for Indian fashion brands — product questions, order updates, and follow-ups in seconds, including after hours.

For a team like yours on Shopify, that usually means more conversions from the same ad spend without adding another support shift.

Would a short 15-minute walkthrough of how COMAI could sit on Caprese's WhatsApp be useful?

Best,
Vansh Jhamb
Founder, Inowix
vansh@inowix.in
https://inowix.in",sent,live_verified_enrichment
abf880be-357e-5073-b19c-ed456be51cb7,The Beard Club,,,support@thebeardclub.com,918229524583,https://thebeardclub.com,Mumbai,personal care,,93,why_text,shopify,94.0,SALES_READY,,"whatsapp_signal,chat_gap,ops_pain,stack_plus_support_pain,brand_support_plus_cue,phone_plus_context,live_enriched_signal",No WhatsApp chat on site · No chatbot on site · Found 68 instances of return_policy references · Found 119 instances of shipping_info references,live_discovery,The Beard Club — WhatsApp replies before the cart goes cold,"Hi there,

I was looking at The Beard Club (Mumbai). What stood out is that no WhatsApp chat on site · No chatbot on site · Found 68 instances of return_policy references · Found 119 instances of shipping_info….

I'm Vansh, founder of Inowix. We built COMAI to handle WhatsApp and Instagram commerce chat for Indian personal care brands — product questions, order updates, and follow-ups in seconds, including after hours.

For a team like yours on Shopify, that usually means more conversions from the same ad spend without adding another support shift.

Would a short 15-minute walkthrough of how COMAI could sit on The Beard Club's WhatsApp be useful?

Best,
Vansh Jhamb
Founder, Inowix
vansh@inowix.in
https://inowix.in",sent,live_verified_enrichment
754fb5ae-b23d-56cd-8aa8-f325c4d68290,Tjori,,,alerts@tjori.com,917398175180,https://tjori.com,New Delhi,fashion,,117,why_text,shopify,96.0,SALES_READY,,"whatsapp_signal,chat_gap,ops_pain,stack_plus_support_pain,phone_plus_context,live_enriched_signal",No WhatsApp chat on site · No chatbot on site · Found 117 instances of return_policy references · Found 118 instances of shipping_info references,live_discovery,Tjori — WhatsApp replies before the cart goes cold,"Hi there,

I was looking at Tjori (New Delhi). What stood out is that no WhatsApp chat on site · No chatbot on site · Found 117 instances of return_policy references · Found 118 instances of shipping_info….

I'm Vansh, founder of Inowix. We built COMAI to handle WhatsApp and Instagram commerce chat for Indian fashion brands — product questions, order updates, and follow-ups in seconds, including after hours.

For a team like yours on Shopify, that usually means more conversions from the same ad spend without adding another support shift.

Would a short 15-minute walkthrough of how COMAI could sit on Tjori's WhatsApp be useful?

Best,
Vansh Jhamb
Founder, Inowix
vansh@inowix.in
https://inowix.in",sent,live_verified_enrichment
8e2b77df-8795-5c50-a806-ba23c3474b48,AND Designs,,,care@andindia.com,+91 7303030343,https://andindia.com,Mumbai,fashion,,47,why_text,,93.0,SALES_READY,,"whatsapp_signal,stack_plus_support_pain,brand_inbox,brand_inbox_plus_cue,phone_plus_context,live_enriched_signal",WhatsApp present on site · Found 52 instances of return_policy references · Found 42 instances of shipping_info references,live_discovery,AND Designs — WhatsApp replies before the cart goes cold,"Hi there,

I was looking at AND Designs (Mumbai). What stood out is that WhatsApp present on site · Found 52 instances of return_policy references · Found 42 instances of shipping_info references.

I'm Vansh, founder of Inowix. We built COMAI to handle WhatsApp and Instagram commerce chat for Indian fashion brands — product questions, order updates, and follow-ups in seconds, including after hours.

For a team like yours, that usually means more conversions from the same ad spend without adding another support shift.

Would a short 15-minute walkthrough of how COMAI could sit on AND Designs's WhatsApp be useful?

Best,
Vansh Jhamb
Founder, Inowix
vansh@inowix.in
https://inowix.in",sent,live_verified_enrichment
877d836f-10b9-5e14-813f-5f0ab9c9b899,Dressfolk,,,support@dressfolk.com,+919910709611,https://dressfolk.com,Mumbai,fashion,,99,why_text,shopify,76.0,SALES_READY,,"whatsapp_signal,stack_plus_support_pain,brand_support_plus_cue,phone_plus_context,live_enriched_signal",WhatsApp present on site · Found 127 instances of return_policy references · Found 72 instances of shipping_info references,live_discovery,Dressfolk — WhatsApp replies before the cart goes cold,"Hi there,

I was looking at Dressfolk (Mumbai). What stood out is that WhatsApp present on site · Found 127 instances of return_policy references · Found 72 instances of shipping_info references.

I'm Vansh, founder of Inowix. We built COMAI to handle WhatsApp and Instagram commerce chat for Indian fashion brands — product questions, order updates, and follow-ups in seconds, including after hours.

For a team like yours on Shopify, that usually means more conversions from the same ad spend without adding another support shift.

Would a short 15-minute walkthrough of how COMAI could sit on Dressfolk's WhatsApp be useful?

Best,
Vansh Jhamb
Founder, Inowix
vansh@inowix.in
https://inowix.in",sent,live_verified_enrichment
415f6382-78e5-5ae0-881a-7c0833857924,Vaaree,,,help@vaaree.com,+918068084868,https://vaaree.com,Bengaluru,home_decor,,57,why_text,shopify,84.0,SALES_READY,"gap,live,reach,stack","whatsapp_gap,chat_gap,stack_plus_gap,brand_support_plus_cue,phone_plus_context,live_gap_corroborated",No WhatsApp chat on site · No chatbot on site · Found 60 instances of return_policy references · Found 55 instances of shipping_info references · Found 350 instances of cod_available references,live_discovery,Vaaree — WhatsApp replies before the cart goes cold,"Hi there,

I was looking at Vaaree (Bengaluru). What stood out is that no WhatsApp chat on site · No chatbot on site · Found 60 instances of return_policy references · Found 55 instances of shipping_info….

I'm Vansh, founder of Inowix. We built COMAI to handle WhatsApp and Instagram commerce chat for Indian home_decor brands — product questions, order updates, and follow-ups in seconds, including after hours.

For a team like yours on Shopify, that usually means more conversions from the same ad spend without adding another support shift.

Would a short 15-minute walkthrough of how COMAI could sit on Vaaree's WhatsApp be useful?

Best,
Vansh Jhamb
Founder, Inowix
vansh@inowix.in
https://inowix.in",sent,live_verified_enrichment
f3e21dfa-7318-51b9-9288-efbecffa489c,FableStreet,,,care@fablestreet.com,,https://fablestreet.com,Gurugram,fashion,,26,why_text,shopify,83.0,SALES_READY,"gap,live,reach,stack","whatsapp_gap,stack_plus_gap,brand_inbox,brand_inbox_plus_cue,live_gap_corroborated",No WhatsApp chat on site · Found 41 instances of return_policy references · Found 12 instances of shipping_info references,live_discovery,FableStreet — WhatsApp replies before the cart goes cold,"Hi there,

I was looking at FableStreet (Gurugram). What stood out is that no WhatsApp chat on site · Found 41 instances of return_policy references · Found 12 instances of shipping_info references.

I'm Vansh, founder of Inowix. We built COMAI to handle WhatsApp and Instagram commerce chat for Indian fashion brands — product questions, order updates, and follow-ups in seconds, including after hours.

For a team like yours on Shopify, that usually means more conversions from the same ad spend without adding another support shift.

Would a short 15-minute walkthrough of how COMAI could sit on FableStreet's WhatsApp be useful?

Best,
Vansh Jhamb
Founder, Inowix
vansh@inowix.in
https://inowix.in",sent,live_verified_enrichment
